career,required_skills,preferred_skills,description
Data Scientist,Python|SQL|Machine Learning|Data Analysis|Statistics,Pandas|NumPy|Scikit-learn|Deep Learning,Analyzes data and builds machine learning solutions
Machine Learning Engineer,Python|Machine Learning|Deep Learning|SQL,TensorFlow|PyTorch|Docker|AWS,Builds and deploys machine learning systems
Data Analyst,Python|SQL|Data Analysis|Excel,Power BI|Tableau|Pandas,Analyzes data and creates business insights
Backend Developer,Python|Java|SQL|FastAPI,Docker|Git|AWS|MongoDB,Builds server-side applications and APIs
Full Stack Developer,JavaScript|HTML|CSS|React|SQL,Python|FastAPI|Git,Builds complete web applications
Frontend Developer,JavaScript|HTML|CSS|React,TypeScript|Git|UI Design,Builds user interfaces and frontend applications
DevOps Engineer,Docker|Git|AWS|Linux,Kubernetes|CI/CD|Python,Automates deployment and infrastructure
Cloud Engineer,AWS|Linux|Docker|Networking,Python|Kubernetes|Azure,Designs and manages cloud infrastructure
Cybersecurity Analyst,Cybersecurity|Networking|Linux|Python,Wireshark|Burp Suite|Ethical Hacking,Protects systems and analyzes security threats
Software Engineer,Python|Java|Problem Solving|Data Structures,Git|SQL|Docker,Designs and develops software applications
Database Developer,SQL|MySQL|MongoDB|Database Design,Python|PostgreSQL|Git,Designs and manages database systems
AI Engineer,Python|Machine Learning|Deep Learning|Data Analysis,TensorFlow|PyTorch|Docker,Develops artificial intelligence applications
Business Intelligence Analyst,SQL|Data Analysis|Excel,Power BI|Tableau|Python,Creates reports and business intelligence solutions
UI Designer,Figma|UI Design|Wireframing|Typography|Color Theory,Adobe XD|Sketch|Design Systems|CSS|Prototyping,Designs visual interfaces and user-facing components
UX Designer,UX Design|User Research|Wireframing|Prototyping|Usability Testing,Figma|Adobe XD|Information Architecture|Interaction Design,Researches and designs user experiences
UI/UX Designer,Figma|UI Design|UX Design|Wireframing|Prototyping,User Research|Adobe XD|Design Systems|HTML|CSS,Designs and researches end-to-end user interfaces and experiences
Graphic Designer,Adobe Photoshop|Adobe Illustrator|Graphic Design|Typography|Color Theory,Figma|Canva|Branding|Motion Graphics,Creates visual content for digital and print media
Visual Designer,Adobe Photoshop|Adobe Illustrator|Graphic Design|Typography|Color Theory,Figma|Branding|UI Design|Motion Graphics,Crafts visual identities and design assets across platforms
